omega_m,alpha_qg,base_p95,new_p95,base_t_first,new_t_first,p95_improvement_pct,t_first_improvement_pct,pivot_success_20pct
0.295,3e-07,0.13390003247296267,7.057923134823341e-10,0.6657500000000001,,99.99999947289534,,True
0.295,1.3e-06,0.1278420951657424,6.998250867695788e-10,0.674,,99.99999945258556,,True
0.3,3e-07,0.28498694701874355,1.1440173253163266e-09,0.63725,,99.99999959857168,,True
0.3,1.3e-06,0.2305640167284923,9.72603331206301e-10,0.6445,,99.999999578163,,True
0.295,7e-07,0.13138616535581238,7.064819840252312e-10,0.669,,99.9999994622851,,True
0.3,7e-07,0.25824854842148437,1.0687106755113973e-09,0.64,,99.99999958616934,,True
