run_id,alpha_qg,omega_m,q1_delta_proxy_l2,q1_refinement_max_obs,q1_assumption_sensitivity_hardened,q2_D_star,q2_D_median,q2_D_trimmed_mean,q2_D_p95,q2_D_p99,q2_D_max,q2_spike_ratio_max_over_median,q2_spike_detected,q2_true_replication_rel_diff,q2_method_disagreement_rel_diff,q2_t_first_method_disagreement_1pct,pass_q2_robust_bulk,pass_all_envelope
0,2.0000000000000002e-07,0.28,0.002782111070004138,1.039044776450905e-07,0.018496596249852948,0.02784871317297429,0.019139258354694544,0.02609110501490178,0.08133409066696373,0.09086207160432735,0.09339389699290024,4.879703030393933,False,0.0,0.9999920894677407,0.77375,True,True
1,4.308869380063765e-07,0.28,0.005985727361833227,1.039044776450905e-07,0.01847164858362754,0.027737666043737404,0.01907384917841104,0.02598882198793913,0.08098187608847862,0.09046578928926996,0.09298593945476741,4.875048480513821,False,0.0,0.9999920287651599,0.77625,True,True
2,9.283177667225565e-07,0.28,0.01285836516982887,1.039044776450905e-07,0.018418639735558375,0.027500832150343362,0.01893386005626707,0.025770593881729007,0.08023202489478765,0.0896223021988738,0.09211764453305049,4.865233199109595,False,0.0,0.999991891116566,0.782,True,True
3,2.0000000000000003e-06,0.28,0.027531707360057587,1.039044776450905e-07,0.01830773878525695,0.027001377531555213,0.018636474300000927,0.025309998379755772,0.07865655141115102,0.08785089328820694,0.09029432400005577,4.845032517767936,False,0.0,0.9999915414617189,0.79425,True,True
4,2.0000000000000002e-07,0.30000000000000004,0.02001355855103689,2.795794497965547e-07,0.1508552503516105,0.07428715693781904,0.026873113503585122,0.05752335441513494,0.29346131954724586,0.4146157869444248,9.048374110876566,336.70732308964097,False,0.0,0.9999920195905913,0.6365000000000001,True,True
5,4.308869380063765e-07,0.30000000000000004,0.04246166368296624,2.795794497965547e-07,0.14523213226788392,0.06687032392878052,0.026721987795553237,0.05600634372376775,0.2751537676177933,0.3649475753132601,0.3976081121371255,14.879436184881275,False,0.0,0.9999914235503687,0.638,True,True
6,9.283177667225565e-07,0.30000000000000004,0.08876357584406949,2.795794497965547e-07,0.1356666581932951,0.062173611534560726,0.026402323395123828,0.0532661229749609,0.24642515105793,0.3089454022188861,0.3280222542056308,12.423991983455513,False,0.0,0.9999913668823444,0.64175,True,True
7,2.0000000000000003e-06,0.30000000000000004,0.18097430532503286,2.795794497965547e-07,0.12184408997503879,0.055613936142835524,0.025739584414669725,0.0488278328621572,0.20800899666135897,0.24902719729528727,0.2605213301447705,10.12142721295383,False,0.0,0.9999914994157721,0.64975,True,True
8,2.0000000000000002e-07,0.32,22.553470218524,20.39479581679264,0.9925531619151101,1740.2992093676887,631.3313819979192,1565.8960542636503,6158.947046797399,6900.896179795687,7096.64653275399,11.240763147708346,False,0.0,0.9929309537477776,0.54725,False,False
9,4.308869380063765e-07,0.32,4.130423592220405,2.473065846464833,0.9597270172211471,142.82157160768546,50.91964851786643,128.4446533149926,506.5114591520942,567.5497856714094,583.6578215419305,11.462330132485883,False,0.0,0.9870286289157936,0.5485,False,False
10,9.283177667225565e-07,0.32,1.023877791382995,0.3232190432586285,0.30961855277503725,21.79893596042132,7.382865191726426,19.57391736292958,77.83920852226082,87.19368966969519,89.66726270903555,12.145320330313055,False,0.0,0.9132298190699116,0.551,False,False
11,2.0000000000000003e-06,0.32,1.31879939639992,0.1696615006340706,0.24374325651209616,6.343124648112068,1.8824384487871055,5.672151687783694,23.071268004472408,25.800445804334654,26.52770746321623,14.09220443850824,False,0.0,0.9968223064469809,0.55675,False,False
