t,a_ref,a_eu_on_ref,abs_err,rel_err
0.0,0.1,0.1,0.0,0.0
0.000125,0.10018738367374083,0.10018750000000001,1.1632625918078787e-07,1.161086904510871e-06
0.00025,0.10037453527717853,0.100375,4.647228214749166e-07,4.629887652197906e-06
0.000375,0.10056145567918909,0.10056203411076084,5.784315717516364e-07,5.752020670792015e-06
0.0005,0.10074814574276598,0.10074906822152169,9.224787557021719e-07,9.156285199108982e-06
0.000625,0.10093460632507742,0.10093563993471166,1.033609634243371e-06,1.0240389018949968e-05
0.00075,0.10112083827752268,0.10112221164790164,1.3733703789625684e-06,1.3581477392358901e-05
0.000875,0.10130684244578791,0.1013083244079695,1.4819621815820305e-06,1.4628451008874891e-05
0.001,0.10149261966990117,0.10149443716803735,1.8174981361862574e-06,1.7907687692933204e-05
0.0011250000000000001,0.10167817078428673,0.10168009437312667,1.9235888399360412e-06,1.891840524960833e-05
0.00125,0.10186349661781878,0.10186575157821597,2.2549603971855348e-06,2.2137080230476368e-05
0.001375,0.10204859799387439,0.1020509565810565,2.358587182116345e-06,2.3112391825881818e-05
0.0015,0.1022334757303859,0.10223616158389705,2.6858535111529136e-06,2.6271761690232707e-05
0.0016250000000000001,0.10241813063989255,0.10242091769267402,2.78705278146385e-06,2.7212494155583104e-05
0.00175,0.10260256352959161,0.10260567380145097,3.110271859355085e-06,3.031378312938566e-05
0.001875,0.10278677520138876,0.10278998428065256,3.2090792637939902e-06,3.1220740776295905e-05
0.002,0.10297076645194791,0.10297429475985416,3.5283079062448097e-06,3.42651417273007e-05
0.002125,0.10315453807274043,0.10315816283109835,3.6247583579257503e-06,3.513910706836457e-05
0.0022500000000000003,0.10333809085009367,0.10334203090234254,3.940052248865844e-06,3.81277824706613e-05
0.002375,0.10352142556523909,0.10352545974518347,4.034179944378824e-06,3.896951691257815e-05
0.0025,0.10370454299435959,0.1037088885880244,4.345593664814573e-06,4.1903599778178324e-05
0.002625,0.10388744390863643,0.10389188134073926,4.437432102835648e-06,4.271384429034653e-05
0.00275,0.10407012907429544,0.10407487409345412,4.74501915867509e-06,4.559443906606078e-05
0.002875,0.10425259925265286,0.10425743385381078,4.834601157924223e-06,4.637391482401004e-05
0.003,0.10443485520016044,0.10443999361416743,5.138414006997105e-06,4.920209825683908e-05
0.003125,0.10461689766845012,0.10462212344017373,5.2257717236131596e-06,4.99515072619963e-05
0.0032500000000000003,0.10479872740437812,0.10480425326618002,5.525861801899956e-06,5.272832923416828e-05
0.003375,0.10498034515006859,0.10498595617681498,5.61102674639935e-06,5.344835491232552e-05
0.0035,0.10516175164295656,0.10516765908744995,5.907444493385983e-06,5.617483924614326e-05
0.003625,0.10534294761583066,0.10534893806337764,5.990447546982969e-06,5.686614702323636e-05
0.00375,0.10552393379687502,0.10553021703930533,6.283242430307756e-06,5.954329225825135e-05
0.003875,0.10570471090971097,0.10571107502357174,6.364113860776732e-06,6.020653011588728e-05
0.004,0.10588527967343801,0.10589193300783814,6.6533344001279415e-06,6.28353102588717e-05
0.004125,0.10606564080267449,0.10607237290655164,6.7321038771522845e-06,6.347110926974637e-05
0.00425,0.10624579500759766,0.10625281280526513,7.017797667471792e-06,6.605247451882573e-05
0.004375,0.10642574299398339,0.10643283748826102,7.094494277631869e-06,6.666144936411558e-05
0.0045000000000000005,0.10660548546324532,0.10661286217125691,7.376708011597177e-06,6.919632680759563e-05
0.004625,0.10678502311247363,0.10679247447274642,7.451360272789365e-06,6.97790762749659e-05
0.00475,0.10696435663447335,0.10697208677423593,7.730139762587851e-06,7.22683705657558e-05
0.004875,0.10714348671780212,0.10715128949344017,7.802775638054982e-06,7.282547803028012e-05
0.005,0.10732241404680774,0.10733049221264442,8.078165836672424e-06,7.527007203871809e-05
0.005125,0.10750113930166509,0.10750928811441372,8.148812748631773e-06,7.580210592712741e-05
0.00525,0.10767966315841268,0.10768808401618303,8.420857770349843e-06,7.820286137003828e-05
0.0053750000000000004,0.10785798628898886,0.10786647583160208,8.489542613218659e-06,7.871037560883213e-05
0.0055,0.10803610936126752,0.10804486764702112,8.758285753598938e-06,8.106813365808623e-05
0.005625,0.10821403303909344,0.10822285807400021,8.825034906775886e-06,8.155166810562979e-05
0.00575,0.10839175798231723,0.10840084850097931,9.090518662074887e-06,8.3867249976311e-05
0.005875,0.10856928484682987,0.10857844020483229,9.15535800241618e-06,8.432733084069334e-05
0.006,0.10874661428459685,0.10875603190868526,9.417624088403631e-06,8.66015383592267e-05
0.006125,0.10892374694369197,0.1089332275226943,9.480579002324463e-06,8.703867860169512e-05
0.00625,0.10910068346833073,0.10911042313670333,9.739668372601984e-06,8.927229475541355e-05
0.0063750000000000005,0.1092774244989033,0.10928722526267107,9.800763767761622e-06,8.968699447944889e-05
0.006500000000000001,0.10945397067200728,0.10946402738863881,1.0056716631526297e-05,9.188078394764163e-05
0.006625,0.10963032262047988,0.10964043859742816,1.0115976948277261e-05,9.227353077575836e-05
0.00675,0.10980648097342993,0.1098168498062175,1.0368832787571725e-05,9.442824044311733e-05
0.006875,0.10998244635626943,0.10999287263827942,1.0426282009992627e-05,9.479950988013456e-05
0.007,0.11015821939074479,0.11016889547034132,1.0676079596538823e-05,9.691586933399273e-05
0.007125,0.11033380069496772,0.1103445324362309,1.0731741263175776e-05,9.726612511831244e-05
0.00725,0.1105091908834458,0.11052016940212046,1.0978518674667481e-05,9.934484712901791e-05
0.0073750000000000005,0.11068439056711266,0.11069542298300168,1.1032415889025704e-05,9.967454157265456e-05
0.0075,0.11085940035335791,0.1108706765638829,1.1276210524990837e-05,0.00010171632255856037
0.007625,0.11103422084605669,0.11104554921202234,1.1328365965651566e-05,0.00010202589687514148
0.00775,0.11120885264559889,0.11122042186016178,1.1569214562884289e-05,0.00010403141735265478
0.007875,0.11138329634891815,0.11139491599941151,1.1619650493358002e-05,0.00010432130197474406
0.008,0.11155755254952036,0.11156941013866124,1.1857589140878977e-05,0.00010629122699348652
0.008125,0.11173162183751209,0.11174352816493135,1.190632741926434e-05,0.00010656184188017287
0.00825,0.1119055047996285,0.11191764619120145,1.2141391572947913e-05,0.00010849682144490992
0.008375,0.11207920201926111,0.11209139047292224,1.2188453661132748e-05,0.00010874857637760501
0.0085,0.11225271407648514,0.11226513475464302,1.2420678157876175e-05,0.00011064924585621191
0.008625,0.11242604154808669,0.11243850763321739,1.2466085130696802e-05,0.0001108825407266938
0.00875,0.11259918500758953,0.11261188051179177,1.2695504202242525e-05,0.00011274952124552851
0.008875000000000001,0.11277214502528166,0.11278488430203795,1.2739276756296158e-05,0.00011296474633376983
0.009000000000000001,0.11294492216824155,0.11295788809228412,1.2965924042568355e-05,0.0001147986451595791
0.009125,0.11311751700036414,0.11313052508286885,1.3008082504706309e-05,0.00011499618140189834
0.00925,0.11328993008238657,0.11330316207345358,1.3231991067008675e-05,0.00011679759231368582
0.009375,0.11346216197191357,0.11347543452731632,1.32725554027463e-05,0.0001169778115635737
0.0095,0.11363421322344268,0.11364770698117907,1.3493757736390832e-05,0.00011874731521093471
0.009625,0.11380608438838916,0.11381961713594717,1.3532747558012148e-05,0.00011891058049083254
0.00975,0.1139777760151106,0.11399152729071527,1.3751275604670377e-05,0.00012064874474166947
0.009875,0.11414928864893135,0.11416307735911042,1.378871017906902e-05,0.00012079541048631831
0.01,0.11432062283216668,0.11433462742750557,1.4004595338887316e-05,0.00012250279076459584
0.010125,0.1144917791041466,0.11450581959774188,1.4040493595282588e-05,0.00012263320305740585
0.01025,0.1146627580012396,0.11467701176797819,1.425376673859502e-05,0.00012431034266976903
0.010375,0.11483356005687596,0.11484784820415195,1.4288147275984264e-05,0.00012442483947120822
0.0105,0.115004185801571,0.1150186846403257,1.4498838754706256e-05,0.0001260722699234837
0.010625,0.11517463576294792,0.11518916748279709,1.453171984916457e-05,0.00012617118129267267
0.010750000000000001,0.11534491046576058,0.11535965032526847,1.4739859507895137e-05,0.0001277894225967642
0.010875000000000001,0.11551501043191584,0.11552978169103545,1.4771259119611413e-05,0.00012787307090551158
0.011,0.11568493618049588,0.11569991305680241,1.497687630652722e-05,0.00012946263187766833
0.011125,0.11585468822778022,0.11586969503986694,1.5006812086715282e-05,0.0001295313320183511
0.01125,0.1160242670872674,0.11603947702293148,1.5209935664076135e-05,0.00013109271056748744
0.011375,0.11619367326969664,0.11620891169465838,1.5238424961747099e-05,0.00013114677015483558
0.0115,0.11636290728306913,0.11637834636638528,1.5439083316151625e-05,0.00013268045356235172
0.011625,0.11653196963266917,0.11654743577585366,1.5466143184497683e-05,0.0001327201731271664
0.01175,0.11670086082108508,0.11671652518532206,1.566436423698636e-05,0.00013422663831932975
0.011875,0.11686958134822993,0.11688527135966985,1.5690011439917217e-05,0.0001342523114989726
0.012,0.11703813171136203,0.11705401753401763,1.5885822655603565e-05,0.0001357320253093312
0.012125,0.11720651240510518,0.117222422478779,1.591007367381103e-05,0.0001357439390297727
0.01225,0.11737472392146886,0.11739082742354036,1.610350207149891e-05,0.0001371973584557527
0.012375,0.11754276674986802,0.11755889312297658,1.612637310856313e-05,0.00013719579310975425
0.0125,0.11771064137714285,0.11772695882241281,1.6317445269961595e-05,0.00013862336556030345
0.012625,0.11787834828757823,0.11789468723983647,1.633895225823523e-05,0.0001386085951796192
0.012750000000000001,0.11804588796292312,0.11806241565726013,1.652769433700685e-05,0.00014001075871611786
0.012875000000000001,0.11821326088240958,0.11822980873535285,1.6547852943277208e-05,0.00013998305113787306
0.013000000000000001,0.11838046752277176,0.1183972018134456,1.6734290673836583e-05,0.00014136023470778588
0.013125,0.11854750835826465,0.1185642614745697,1.675311630504328e-05,0.00014131985173752648
0.01325,0.11871438386068264,0.11873132113569379,1.693727501114739e-05,0.00014267247540132962
0.013375,0.1188810944993779,0.11889804928219758,1.6954782819669778e-05,0.00014261967296876087
0.0135,0.11904764074127858,0.11906477742870136,1.713668742278629e-05,0.00014394814812020187
0.013625,0.11921402305090681,0.11923117594321869,1.715289231188355e-05,0.00014388317643268167
0.01375,0.11938024189039663,0.11939757445773602,1.733256733939259e-05,0.0001451879060130028
0.013875,0.11954629771951163,0.11956364520347991,1.7347483968283006e-05,0.00014511100970257407
0.014,0.11971219099566242,0.1197297159492238,1.7524953561373624e-05,0.00014639238840769746
0.014125,0.11987792217392405,0.11989546077027441,1.7538596350355484e-05,0.00014630380667517398
0.01425,0.12004349170705315,0.12006120559132501,1.771388427185272e-05,0.00014756222115798215
0.014375,0.12020890004550493,0.12022662631291203,1.7726267407106033e-05,0.00014746218791117488
0.0145,0.12037414763745002,0.12039204703449907,1.7899397049048194e-05,0.00014869801697752
0.014625,0.12053923492879123,0.12055714546327882,1.7910534487589058e-05,0.00014858676096765996
0.014750000000000001,0.12070416236318,0.12072224389205857,1.8081528878569064e-05,0.00014980037576636682
0.014875000000000001,0.12086893038203282,0.12088702181638564,1.809143435281546e-05,0.00014967812071831326
0.015,0.12103353942454743,0.12105179974071269,1.826031616525281e-05,0.00015086988492669982
