t,a_ref,a_eu_on_ref,abs_err,rel_err
0.0,0.1,0.1,0.0,0.0
0.000125,0.10018738359940788,0.10018750000000001,1.1640059213724463e-07,1.1618288446643437e-06
0.00025,0.10037453498076977,0.100375,4.650192302335654e-07,4.632840693335728e-06
0.000375,0.10056145501433289,0.1005625,1.0449856671090885e-06,1.0391513000285624e-05
0.0005,0.10074814456444434,0.10075,1.8554355556699154e-06,1.841657296708877e-05
0.000625,0.10093460448960857,0.100936567625,1.963135391427895e-06,1.9449577291700632e-05
0.00075,0.10112083564254415,0.10112313525000001,2.299607455860664e-06,2.27411832709691e-05
0.000875,0.10130683887023967,0.10130970287500002,2.8640047603500918e-06,2.82705964601113e-05
0.001,0.10149261501400912,0.10149627050000001,3.655485990891605e-06,3.60172608656009e-05
0.0011250000000000001,0.10167816490954647,0.10168191966117363,3.754751627157993e-06,3.692780677639301e-05
0.00125,0.10186348938697955,0.10186756882234724,4.079435367690398e-06,4.0048062286503626e-05
0.001375,0.10204858927092335,0.10205321798352084,4.628712597487539e-06,4.535792832176221e-05
0.0015,0.10223346538053256,0.10223886714469445,5.401764161888645e-06,5.28375335980463e-05
0.0016250000000000001,0.10241811852955356,0.10242361138038655,5.492850832997109e-06,5.363163190126413e-05
0.00175,0.10260254952637562,0.10260835561607867,5.806089703047634e-06,5.658816208611882e-05
0.001875,0.10278675917408167,0.10279309985177078,6.340677689106733e-06,6.168768954343599e-05
0.002,0.10297074827049825,0.10297784408746288,7.095816964633461e-06,6.891099738338395e-05
0.002125,0.10315451760824496,0.1031616965774281,7.178969183146977e-06,6.959432654622879e-05
0.0022500000000000003,0.10333806797478329,0.10334554906739332,7.481092610034379e-06,7.239435337478783e-05
0.002375,0.10352140015246485,0.10352940155735854,8.001404893695496e-06,7.729227852319486e-05
0.0025,0.10370451491857897,0.10371325404732376,8.739128744786329e-06,8.426951084673174e-05
0.002625,0.10388741304539982,0.10389622762626378,8.814580863963917e-06,8.484743825618001e-05
0.00275,0.10407009530023284,0.1040792012052038,9.105904970954648e-06,8.749780563460469e-05
0.002875,0.1042525624454607,0.10426217478414382,9.612338683115396e-06,9.220242128958661e-05
0.003,0.1044348152385887,0.10444514836308384,1.033312449513768e-05,9.894329272791673e-05
0.003125,0.10461685443228959,0.1046272555335258,1.0401101236207078e-05,9.942089439267942e-05
0.0032500000000000003,0.10479868077444784,0.10480936270396775,1.0681929519903988e-05,0.00010192809146991064
0.003375,0.10498029500820348,0.1049914698744097,1.1174866206220546e-05,0.00010644727379883245
0.0035,0.10516169787199528,0.10517357704485165,1.187917285637441e-05,0.00011296102190013935
0.003625,0.10534289009960354,0.10535482998940658,1.1939889803039283e-05,0.00011334310072326472
0.00375,0.10552387242019233,0.10553608293396151,1.2210513769178588e-05,0.00011571328353603854
0.003875,0.10570464555835117,0.10571733587851644,1.2690320165265057e-05,0.00012005451698203383
0.004,0.10588521023413633,0.10589858882307136,1.3378588935034075e-05,0.00012634993032030478
0.004125,0.1060655671631116,0.10607899941610915,1.3432252997561123e-05,0.00012664103305933748
0.00425,0.10624571705638851,0.10625941000914693,1.3692952758423416e-05,0.00012888004465305583
0.004375,0.10642566062066623,0.10643982060218471,1.4159981518477305e-05,0.0001330504451266476
0.0045000000000000005,0.10660539855827088,0.1066202311952225,1.4832636951622735e-05,0.00013913588947857107
0.004625,0.10678493156719442,0.10679981101399716,1.4879446802743002e-05,0.00013934032250027684
0.00475,0.10696426034113311,0.1069793908327718,1.513049163869018e-05,0.00014145371164569822
0.004875,0.10714338556952556,0.10715897065154646,1.5585082020902474e-05,0.000145460048122048
0.005,0.10732230793759019,0.10733855047032112,1.624253273092846e-05,0.00015134349086467306
0.005125,0.10750102812636247,0.10751731080557797,1.6282679215495754e-05,0.00015146533479062235
0.00525,0.10767954681273159,0.10769607114083482,1.6524328103229013e-05,0.0001534583734083388
0.0053750000000000004,0.10785786466947674,0.10787483147609167,1.696680661493477e-05,0.0001573070880545268
0.0055,0.10803598236530301,0.10805359181134852,1.760944604550785e-05,0.00016299612092168247
0.005625,0.10821390056487688,0.10823154367744271,1.76431125658294e-05,0.00016303924425357683
0.00575,0.10839161992886125,0.1084094955435369,1.7875614675658125e-05,0.00016491694364739585
0.005875,0.10856914111395012,0.10858744740963111,1.8306295680989293e-05,0.00016861417059360837
0.006,0.10874646477290292,0.1087653992757253,1.8934502822379184e-05,0.0001741160309157659
0.006125,0.10892359155457836,0.10894255342027911,1.8961865700758973e-05,0.0001740841027194515
0.00625,0.10910052210396795,0.10911970756483293,1.9185460864976078e-05,0.00017585122871083064
0.0063750000000000005,0.1092772570622292,0.10929686170938674,1.9604647157542288e-05,0.00017940281156927297
0.006500000000000001,0.10945379706671832,0.10947401585394055,2.0218787222234247e-05,0.00018472440211379383
0.006625,0.10963014275102269,0.10965038276706511,2.0240016042422093e-05,0.00018462090383653267
0.00675,0.10980629474499289,0.10982674968018966,2.045493519677033e-05,0.00018628199088470635
0.006875,0.10998225367477438,0.11000311659331422,2.0862918539837905e-05,0.00018969349911241955
0.007,0.11015802016283888,0.11017948350643877,2.1463343599897877e-05,0.00019484140662813228
0.007125,0.11033359482801536,0.11035507342954419,2.1478601528832075e-05,0.00019466964311560834
0.00725,0.1105089782855207,0.11053066335264959,2.1685067128893176e-05,0.00019622900750078005
0.0073750000000000005,0.11068417114699002,0.110706253275755,2.2082128764991382e-05,0.00019950575169114135
0.0075,0.11085917402050666,0.11088184319886041,2.2669178353751374e-05,0.00020448626425412334
0.007625,0.11103398751063187,0.11105666613307671,2.2678622444843866e-05,0.00020424937402767877
0.00775,0.11120861221843416,0.11123148906729302,2.2876848858863208e-05,0.00020571112616645792
0.007875,0.11138304874151829,0.11140631200150933,2.3263259991038177e-05,0.00020885817235101893
0.008,0.11155729767405403,0.11158113493572563,2.383726167159983e-05,0.00021367729560146633
0.008125,0.11173135960680458,0.11175520064995556,2.3841043150979457e-05,0.0002133782604532747
0.00825,0.11190523512715458,0.1119292663641855,2.4031237030916475e-05,0.00021474631641326056
0.008375,0.112078924819138,0.11210333207841544,2.440725927743692e-05,0.00021776849944646373
0.0085,0.11225242926346561,0.11227739779264537,2.4968529179755783e-05,0.0002224319717941461
0.008625,0.11242574903755218,0.11245071583126852,2.4966793716343916e-05,0.00022207362574924315
0.00875,0.11259888471554337,0.11262403386989167,2.5149154348300118e-05,0.00022335171801953253
0.008875000000000001,0.11277183686834245,0.11279735190851484,2.551504017238304e-05,0.00022625365411198202
0.009000000000000001,0.11294460606363656,0.11297066994713799,2.6063883501431517e-05,0.00023076696098923107
0.009125,0.11311719286592281,0.1131432496373849,2.6056771462085182e-05,0.0002303519986830817
0.00925,0.1132895978365341,0.1133158293276318,2.6231491097705728e-05,0.00023154368625754145
0.009375,0.1134618215336646,0.11348840901787872,2.6587484214121715e-05,0.00023432978472175207
0.0095,0.11363386451239507,0.11366098870812563,2.712419573056013e-05,0.00023869817194856742
0.009625,0.11380572732471778,0.11383283916713895,2.7111842421170818e-05,0.00023822915646251562
0.00975,0.11397741051956127,0.11400468962615225,2.727910659097721e-05,0.00023933783428335757
0.009875,0.11414891464281486,0.11417654008516556,2.762544235070108e-05,0.00024201230854576267
0.01,0.11432024023735282,0.11434839054417886,2.815030682604136e-05,0.00024624079487232676
