run_id,alpha_qg,omega_m,q1_delta_proxy_l2,q1_refinement_max_obs,q1_assumption_sensitivity_wide,q1_assumption_sensitivity_hardened,q2_D_star,q2_D_median,q2_D_trimmed_mean,q2_D_p95,q2_D_p99,q2_D_max,q2_spike_ratio_max_over_median,q2_spike_detected,q2_true_replication_rel_diff,q2_method_disagreement_rel_diff,q2_t_first_method_disagreement_1pct,pass_q1_effect,pass_q1_refinement,pass_q1_assumption_hardened,pass_q2_Dstar,pass_q2_true_replication,pass_q2_method_disagreement,pass_all_strict,pass_all_envelope
0,2.1544346900318822e-07,0.3,0.021536187818329167,2.7957944614838807e-07,257.7784979480406,0.15044854814897718,0.06982046956871373,0.026862949355313193,0.05741555784761662,0.2920895660668042,0.4103565825151275,0.4817074920336915,17.93204036020703,False,0.0,0.9999915283505076,0.6365000000000001,True,True,True,True,True,False,False,True
1,3e-07,0.3,0.029818060047019035,2.7957944614838807e-07,96.9828626585141,0.14830378674833755,0.0685278581537305,0.026807440523626158,0.05684235167402093,0.28498694701874355,0.3892032151943856,0.4336828770426963,16.177705464289406,False,0.0,0.9999914741160205,0.63725,True,True,True,True,True,False,False,True
2,4.6415888336127725e-07,0.3,0.045642962745745384,2.7957944614838807e-07,8.764107584431619,0.14449471010551546,0.06648980728457494,0.0267003558034562,0.055802777599222864,0.27284516656548163,0.35978959940067745,0.3906670558839572,14.631529960112859,False,0.0,0.999991414358074,0.63825,True,True,True,True,True,False,False,True
3,7e-07,0.3,0.06783513906801192,2.7957944614838807e-07,10.158908111469417,0.13970065546696347,0.06410767964420144,0.02654805882612532,0.054449434750161486,0.25824854842148437,0.330215503803594,0.35329564168731664,13.307776813408045,False,0.0,0.9999913754687292,0.64,True,True,True,True,True,False,False,True
4,1e-06,0.3,0.09522958011196747,2.7957944614838807e-07,8.163964172480554,0.1345028389592845,0.06162154768669734,0.026356908201640827,0.05291639312502084,0.2430781790940743,0.3032376604795471,0.32139125910033084,12.193814867872504,False,0.0,0.999991368218216,0.64225,True,True,True,True,True,False,False,True
5,1.5e-06,0.3,0.13907434324054407,2.7957944614838807e-07,5.749523091265623,0.1274619675480957,0.05829501829173954,0.026044526667260093,0.05071140025386657,0.22331656382253273,0.2716326328251337,0.28551520628033544,10.962579966532406,False,0.0,0.9999914133012449,0.646,True,True,True,True,True,False,False,True
