run_id,json_file,alpha_qg,omega_m,omega_l,q1_delta_proxy_l2,q1_refinement_max_obs,q1_assumption_sensitivity_rel,q2_D_star,q2_true_replication_rel_diff,q2_method_disagreement_rel_diff,q2_replication_rel_diff_legacy,q2_t_first_method_disagreement_1pct,pass_q1_effect,pass_q1_refinement,pass_q1_assumption,pass_q2_Dstar,pass_q2_true_replication,pass_q2_method_disagreement,pass_all
0,run_000_alpha_2.154e-07_om_0.300.json,2.1544346900318822e-07,0.3,0.7,0.021536187818329167,2.7957944614838807e-07,0.8654626450514736,0.06982046956871373,0.0,0.9999915283505076,0.9999915283505076,0.6365000000000001,True,True,False,True,True,False,False
1,run_001_alpha_4.642e-07_om_0.300.json,4.6415888336127725e-07,0.3,0.7,0.045642962745745384,2.7957944614838807e-07,0.863560446134537,0.06648980728457494,0.0,0.999991414358074,0.999991414358074,0.63825,True,True,False,True,True,False,False
2,run_002_alpha_1.000e-06_om_0.300.json,1e-06,0.3,0.7,0.09522958011196747,2.7957944614838807e-07,0.8598191095762259,0.06162154768669734,0.0,0.999991368218216,0.999991368218216,0.64225,True,True,False,True,True,False,False
