run_id,alpha_qg,omega_m,omega_l,D_star,D_max,D_star_alt,D_max_alt,replication_rel_diff,first_t_rel_exact_vs_approx_ge_1e-2,first_t_rel_exact_vs_alt_ge_1e-2,first_t_rel_approx_vs_alt_ge_1e-2
19,1e-06,0.3,0.7,0.06162154768669734,0.32139125910033084,5.319037518265291e-07,7.20004136139929e-06,0.999991368218216,0.64225,None,0.64225
16,4.6415888336127725e-07,0.3,0.7,0.06648980728457494,0.3906670558839572,5.708576760809752e-07,7.2249407397501075e-06,0.999991414358074,0.63825,None,0.63825
13,2.1544346900318822e-07,0.3,0.7,0.06982046956871373,0.4817074920336915,5.914945445795751e-07,7.236498033386107e-06,0.9999915283505076,0.6365000000000001,None,0.6365000000000001
