t,a_exact,a_approx_on_exact,a_alt_on_exact,abs_diff_exact_approx,abs_diff_exact_alt,abs_diff_approx_alt,rel_diff_exact_approx,rel_diff_exact_alt,rel_diff_approx_alt
0,0.10000000000000001,0.10000000000000001,0.10000000000000001,0,0,0,0,0,0
0.00025000000000000001,0.10037453604958457,0.10037500000000001,0.10037135171547523,4.6395041543301208e-07,3.184334109340714e-06,3.6482845247737261e-06,4.6221923775948316e-06,3.1724521324488471e-05,3.63467137020833e-05
0.00050000000000000001,0.10074814881333888,0.10075000000000001,0.10074270343095046,1.8511866611281569e-06,5.4453823884192953e-06,7.2965690495474522e-06,1.8374398764963159e-05,5.4049453538924797e-05,7.2423852303887956e-05
0.00075000000000000002,0.10112084514398313,0.10112500000000001,0.10111405514642569,4.1548560168747084e-06,6.7899975574464699e-06,1.0944853574321178e-05,4.1088027013210621e-05,6.7147357676632506e-05,0.00010823538468984313
0.001,0.10149263180264066,0.10150000000000001,0.10148540686190091,7.3681973593447969e-06,7.2249407397501075e-06,1.4593138099094904e-05,7.2598347569434265e-05,7.1186849837527382e-05,0.00014378519740696163
0.00125,0.10186351546058829,0.10187127910397209,0.10185675857737612,7.7636433837985352e-06,6.7568832121667199e-06,1.4520526595965255e-05,7.6216134390161194e-05,6.6332711782178175e-05,0.00014254884617233936
0.0015,0.10223350270096353,0.10224255820794417,0.10222811029285135,9.0555069806458333e-06,5.3924081121758949e-06,1.4447915092821728e-05,8.8576706670546258e-05,5.2745997835453408e-05,0.00014132270450599967
0.00175,0.10260260002042974,0.10261383731191626,0.10259946200832658,1.1237291486512757e-05,3.138012103165444e-06,1.4375303589678201e-05,0.00010952248270779816,3.0584138243481038e-05,0.0001401066209512792
0.002,0.10297081383080064,0.10298511641588834,0.1029708137238018,1.4302585087694331e-05,1.0699884034348628e-10,1.4302692086534674e-05,0.00013889940805164347,1.0391181380706902e-09,0.00013890044716978155
0.0022500000000000003,0.10333815046062532,0.1033527840723099,0.10333514456113906,1.4633611684577996e-05,3.005899486263619e-06,1.7639511170841615e-05,0.00014160899550987865,2.9087993861559583e-05,0.00017069698937143823
0.0025000000000000001,0.10370461615673485,0.10372045172873146,0.10369947539847631,1.5835571996608566e-05,5.1407582585399902e-06,2.0976330255148556e-05,0.0001526988149946497,4.9571161333555419e-05,0.00020226997632820512
0.0027499999999999998,0.10407021708575186,0.10408811938515303,0.10406380623581356,1.7902299401170718e-05,6.4108499382986572e-06,2.4313149339469375e-05,0.00017202135156900265,6.1601196940102269e-05,0.00023362254850910492
0.0030000000000000001,0.10443495933556392,0.10445578704157459,0.10442813707315082,2.0827706010667635e-05,6.822262413094804e-06,2.7649968423762439e-05,0.00019943231790558894,6.5325466266270753e-05,0.00026475778417185968
0.0032500000000000003,0.10479884891676193,0.10481994698089014,0.10479246791048807,2.10980641282138e-05,6.3810062738561824e-06,2.7479070402069983e-05,0.00020131961702147183,6.088813321722963e-05,0.00026220775023870144
0.0035000000000000001,0.10516189176404446,0.1051841069202057,0.10515679874782533,2.22151561612427e-05,5.0930162191348272e-06,2.7308172380377527e-05,0.00021124720931311731,4.8430245345549353e-05,0.00025967745465866666
0.0037499999999999999,0.10552409373758913,0.10554826685952126,0.10552112958516258,2.417312193213339e-05,2.9641524265516805e-06,2.7137274358685071e-05,0.00022907680204527892,2.8089816472840087e-05,0.00025716661851811902
0.0040000000000000001,0.10588546062439182,0.10591242679883682,0.10588546042249983,2.6966174445003377e-05,2.0189198923770135e-10,2.6966376336992615e-05,0.00025467306168370374,1.9067017137874313e-09,0.00025467496838541752
0.0042500000000000003,0.10624599813957482,0.10627317745432079,0.1062431533205677,2.7179314745967575e-05,2.8448190071139745e-06,3.002413375308155e-05,0.0002558149504159394,2.6775775623819014e-05,0.00028259072603975841
0.0045000000000000005,0.10660571192766462,0.10663392810980475,0.10660084621863558,2.8216182140133883e-05,4.8657090290366023e-06,3.3081891169170485e-05,0.00026467795796232009,4.5642104358705428e-05,0.00031032006232102551
0.0047499999999999999,0.10696460756384032,0.1069946787652887,0.10695853911670344,3.0071201448378382e-05,6.0684471368810389e-06,3.6139648585259421e-05,0.00028113225611032627,5.6733224896460396e-05,0.00033786548100678667
0.0050000000000000001,0.1073226905551535,0.10735542942077267,0.10731623201477132,3.2738865619164059e-05,6.4585403821842968e-06,3.9197406001348356e-05,0.00030505073484287217,6.017870357867305e-05,0.00036522943842154523
0.0052500000000000003,0.10767996634172018,0.10771286430989953,0.1076739249128392,3.2897968179346204e-05,6.0414288809845784e-06,3.8939397060330783e-05,0.0003055161447111236,5.6105412048627233e-05,0.00036162155675975078
0.0054999999999999997,0.10803644029788592,0.10807029919902637,0.10803161781090706,3.3858901140451647e-05,4.8224869788615621e-06,3.8681388119313209e-05,0.00031340259867034784,4.4637596033010768e-05,0.00035804019470335859
0.0057499999999999999,0.10839211773336453,0.10842773408815322,0.10838931070897494,3.5616354788686744e-05,2.8070243895950142e-06,3.8423379178281758e-05,0.00032858805172807532,2.589694203133877e-05,0.00035448499375941408
0.0060000000000000001,0.10874700389435132,0.10878516897728008,0.10874700360704281,3.8165082928753868e-05,2.8730851031610882e-10,3.8165370237264185e-05,0.0003509529601921836,2.6419901241162373e-09,0.00035095560218230772
0.0062500000000000003,0.10910110396461151,0.10913937704806939,0.10909840520088951,3.8273083457884827e-05,2.6987637219977323e-06,4.0971847179882559e-05,0.00035080381469191084,2.4736355764769253e-05,0.00037554017045668013
0.0065000000000000006,0.10945442306654442,0.10949358511885871,0.10944980679473622,3.9162052314287155e-05,4.616271808199901e-06,4.3778324122487056e-05,0.00035779323682952178,4.2175287931428126e-05,0.00039996852476094987
0.0067499999999999999,0.10980696626222423,0.10984779318964802,0.10980120838858291,4.0826927423784354e-05,5.7578736413210763e-06,4.658480106510543e-05,0.00037180635084924709,5.2436323826404138e-05,0.00042424267467565125
0.0070000000000000001,0.11015873855441788,0.11020200126043733,0.11015260998242961,4.3262706019453478e-05,6.128571988270326e-06,4.9391278007723804e-05,0.00039273058667135629,5.5634006604412827e-05,0.00044836459327576909
0.0072500000000000004,0.11050974488758059,0.1105530672066533,0.1105040115762763,4.3322319072711113e-05,5.7333113042817851e-06,4.9055630376992898e-05,0.00039202261408513496,5.1880594875267513e-05,0.00044390320896040247
0.0074999999999999997,0.11085999014882991,0.11090413315286926,0.110855413170123,4.4143004039348677e-05,4.576978706913315e-06,4.8719982746261992e-05,0.00039818697421933869,4.1286118650819507e-05,0.00043947309287015819
0.0077499999999999999,0.11120947916889859,0.11125519909908524,0.11120681476396971,4.5719930186649549e-05,2.6644049288815363e-06,4.8384335115531085e-05,0.00041111540606365333,2.3958433658653925e-05,0.00043507383972230722
0.0080000000000000002,0.1115582167230669,0.1116062650453012,0.1115582163578164,4.8048322234303664e-05,3.6525049651459085e-10,4.8048687484800179e-05,0.00043070177747264293,3.2740797338244358e-09,0.00043070505155237676
0.0082500000000000004,0.11190620753207506,0.11195426959388652,0.11190364173635091,4.8062061811460222e-05,2.5657957241492779e-06,5.06278575356095e-05,0.00042948521687399718,2.2928091128580469e-05,0.00045241330800257763
0.0085000000000000006,0.11225345626301612,0.11230227414247185,0.1122490671148854,4.8817879455723134e-05,4.3891481307234415e-06,5.3207027586446576e-05,0.00043488976714747813,3.9100338438037782e-05,0.0004739901055855159
0.0087500000000000008,0.11259996753021002,0.11265027869105718,0.11259449249341991,5.031116084715237e-05,5.4750367901174046e-06,5.5786197637269774e-05,0.00044681328024054432,4.8623786580119844e-05,0.00049543706682066418
0.0090000000000000011,0.11294574589605905,0.11299828323964249,0.1129399178719544,5.2537343583444751e-05,5.8280241046482217e-06,5.8365367688092973e-05,0.00046515557683591733,5.1600209095184025e-05,0.00051675578593110138
0.0092499999999999995,0.11329079587188544,0.11334330341333954,0.11328534325048889,5.2507541454097084e-05,5.4526213965483405e-06,5.7960162850645425e-05,0.00046347579298034608,4.8129429708609102e-05,0.00051160522268895521
0.0094999999999999998,0.11363512191875139,0.11368832358703658,0.1136307686290234,5.3201668285193793e-05,4.3532897279902061e-06,5.7554958013183999e-05,0.00046817979676417546,3.8309368217185098e-05,0.00050648916498136055
0.00975,0.11397872844826205,0.11403334376073362,0.11397619400755789,5.4615312471570365e-05,2.5344407041660855e-06,5.7149753175736451e-05,0.00047917109810854941,2.2236085089478014e-05,0.00050140718319802743
0.01,0.11432161982335189,0.11437836393443067,0.11432161938609239,5.6744111078782522e-05,4.3725949250283946e-10,5.6744548338275025e-05,0.00049635503036487942,3.8248189028329262e-09,0.00049635885518378221
0.01025,0.11466380035905477,0.11472047329217711,0.11466135606868685,5.667293312233701e-05,2.4442903679144923e-06,5.9117223490251503e-05,0.00049425305061294499,2.1317018625411803e-05,0.00051557006923835683
