case,spearman_l2_vs_baseline,spearman_maxabs_vs_baseline,spearman_terminal_vs_baseline,max_rel_drift_primary_l2,template_ratio_cv,pass_case
baseline,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0,5.7914920024002965e-15,True
nuisance_ic_minus_0p1pct,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.14830378674833755,4.9126584777598535e-15,False
nuisance_ic_plus_0p1pct,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.10929430057576929,6.576794774766856e-15,False
nuisance_dt_minus_10pct,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0005301653474863295,5.784464394653638e-15,True
nuisance_dt_plus_10pct,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0003792545525526476,5.784464394653638e-15,True
