omega_m,n,pass_rate_envelope,max_q1_hardened
0.28,5,1.0,0.01848576403663669
0.285,5,1.0,0.022722480031517465
0.29,5,1.0,0.03017320121863169
0.295,5,1.0,0.046951590154802166
0.3,5,1.0,0.14830378674833755
0.305,5,0.0,9.351949972004288
0.31,5,0.0,36.78496372926411
