run_id,omega_m,alpha_qg,q1_delta_proxy_l2,q1_refinement_max_obs,q1_assumption_sensitivity_hardened,q2_D_star,q2_D_median,q2_D_trimmed_mean,q2_D_p95,q2_D_p99,q2_D_max,q2_spike_ratio_max_over_median,q2_spike_detected,q2_true_replication_rel_diff,q2_method_disagreement_rel_diff,q2_t_first_method_disagreement_1pct,pass_q2_robust_bulk,pass_all_envelope
0,0.28,3e-07,0.004170705293284932,1.039044776450905e-07,0.01848576403663669,0.02780052909562789,0.019110894903491715,0.02604672690480385,0.0811812134570653,0.09069006021683013,0.09321681623626521,4.877679287495264,False,0.0,0.999992063200412,0.775,True,True
1,0.28,5e-07,0.0069430009810287525,1.039044776450905e-07,0.01846422351525132,0.02770456462577808,0.01905432336271584,0.025958328033976005,0.08087696352197193,0.09034776109854192,0.09286443642908626,4.873667495891876,False,0.0,0.9999920105564108,0.77725,True,True
2,0.28,7e-07,0.009708812378315317,1.039044776450905e-07,0.018442846440625136,0.027609132940883248,0.018997957501723728,0.02587040092340868,0.0805746973115582,0.09000773431612163,0.09251440539699285,4.869702724021461,False,0.0,0.9999919566656518,0.7795,True,True
3,0.28,1e-06,0.013845473551198554,1.039044776450905e-07,0.018411082731233045,0.027466970193697458,0.0189137905491229,0.02573938266434342,0.08012496014956838,0.0895018881401688,0.09199369370225297,4.863842256438342,False,0.0,0.999991869898712,0.7827500000000001,True,True
4,0.28,1.3e-06,0.017967805530178686,1.039044776450905e-07,0.01837967520190681,0.02732597037038907,0.018830076654383188,0.025609394988268107,0.07967954076634687,0.0890009855248759,0.0914780912973443,4.858083850447074,False,0.0,0.9999917780075636,0.78625,True,True
5,0.285,3e-07,0.005314325596903124,1.1565351987195533e-07,0.022722480031517465,0.030391828224667017,0.020321274532805855,0.02838046691606117,0.09024272679048373,0.10096960302806135,0.10381798139845166,5.108832186231575,False,0.0,0.9999934029701293,0.734,True,True
6,0.285,5e-07,0.008844006206003889,1.1565351987195533e-07,0.022688151520839736,0.030270480961900745,0.020256512511110603,0.028269916887763143,0.08983909493214925,0.10051252791389853,0.10334674626859153,5.101902225859521,False,0.0,0.9999933524105901,0.736,True,True
7,0.285,7e-07,0.012363238898718843,1.1565351987195533e-07,0.022654160610794255,0.030150040791061962,0.020192036576296202,0.02816015572289564,0.08943905135733843,0.10005961066362623,0.10287982016636343,5.095069027714165,False,0.0,0.9999933016164831,0.738,True,True
8,0.285,1e-06,0.017622708683782295,1.1565351987195533e-07,0.02260379508293761,0.02997105052194121,0.02009585294325622,0.027996967163454376,0.08884557926785464,0.09938787156334428,0.10218734470178692,5.08499664036773,False,0.0,0.9999932250074394,0.741,True,True
9,0.285,1.3e-06,0.022859206511955343,1.1565351987195533e-07,0.022554158334786925,0.029794023160748643,0.020000297352394614,0.027835487823594268,0.08825983985121866,0.09872508492940746,0.10150414536501895,5.075131813120813,False,0.0,0.9999931479197399,0.744,True,True
10,0.29,3e-07,0.007306008612131904,1.346810514391057e-07,0.03017320121863169,0.03427744884586406,0.02184952692392028,0.031819703572650314,0.10471997397703614,0.11758630050938934,0.12100119515745345,5.537932037557253,False,0.0,0.9999937065182807,0.69775,True,True
11,0.29,5e-07,0.012151633727055253,1.346810514391057e-07,0.030107350950982804,0.034106548657480584,0.021772769857974716,0.031667019071002875,0.10410657247657107,0.11688258336241408,0.12027349512624275,5.524032813040764,False,0.0,0.9999937731305264,0.6995,True,True
12,0.29,7e-07,0.016977526156602127,1.346810514391057e-07,0.030042424551662235,0.03393754126608315,0.0216964369109921,0.03151592896390285,0.1035013855013307,0.11618860055423852,0.1195559357008138,5.510394918358114,False,0.0,0.9999938298386329,0.7015,True,True
13,0.29,1e-06,0.024179922226339,1.346810514391057e-07,0.02994671980643083,0.03368748801308712,0.0215827218443726,0.03129220989631142,0.10260856445716904,0.11516533817717689,0.11849804390843732,5.490412412432985,False,0.0,0.9999938998280212,0.704,True,True
14,0.29,1.3e-06,0.03133932903788141,1.346810514391057e-07,0.029852974533538534,0.033441464011566606,0.02146993340263592,0.03107189329292932,0.10173311358293913,0.11416262217884232,0.11746154693808974,5.470978634878449,False,0.0,0.9999939496510609,0.70675,True,True
15,0.295,3e-07,0.011650208052401622,1.7076508628155026e-07,0.046951590154802166,0.04132459272875869,0.023882300758098385,0.037849738063942935,0.13390003247296267,0.15196281473830364,0.1567681221444177,6.564196797130267,False,0.0,0.9999920892332224,0.6657500000000001,True,True
16,0.295,5e-07,0.019350740787387268,1.7076508628155026e-07,0.04676028482628164,0.041017420212900585,0.023786463068867114,0.037587459370211344,0.13262706322571094,0.15044887202277613,0.15518920905622458,6.524265865291141,False,0.0,0.9999921620713879,0.6675,True,True
17,0.295,7e-07,0.02699963554347053,1.7076508628155026e-07,0.046573715248874506,0.04071650649618676,0.023691316256530315,0.03733006762620845,0.13138616535581238,0.1489753250308632,0.15365298825838392,6.485624800016093,False,0.0,0.9999922352854013,0.669,True,True
18,0.295,1e-06,0.038378620552811354,1.7076508628155026e-07,0.04630231497286015,0.040276338136961916,0.023549869388554745,0.036952757097815675,0.12958186180521403,0.14683664166920107,0.15142431325491312,6.429942805903587,False,0.0,0.9999923457845331,0.6715,True,True
19,0.295,1.3e-06,0.04964759859892043,1.7076508628155026e-07,0.046040517612508915,0.039848932517027716,0.023409921085519536,0.03658548428450704,0.1278420951657424,0.1447787457806886,0.14928089245830978,6.376821686538822,False,0.0,0.9999924570706817,0.674,True,True
20,0.3,3e-07,0.029818060047019035,2.7957944614838807e-07,0.14830378674833755,0.0685278581537305,0.026807440523626158,0.05684235167402093,0.28498694701874355,0.3892032151943856,0.4336828770426963,16.177705464289406,False,0.0,0.9999914741160205,0.63725,True,True
21,0.3,5e-07,0.049055523353736384,2.7957944614838807e-07,0.14371852407106783,0.06609439489703442,0.026677094178336858,0.05558724408926187,0.2704349573326371,0.354570193366034,0.3838026865484726,14.38697498245987,False,0.0,0.9999914056975658,0.6385000000000001,True,True
22,0.3,7e-07,0.06783513906801192,2.7957944614838807e-07,0.13970065546696347,0.06410767964420144,0.02654805882612532,0.054449434750161486,0.25824854842148437,0.330215503803594,0.35329564168731664,13.307776813408045,False,0.0,0.9999913754687292,0.64,True,True
23,0.3,1e-06,0.09522958011196747,2.7957944614838807e-07,0.1345028389592845,0.06162154768669734,0.026356908201640827,0.05291639312502084,0.2430781790940743,0.3032376604795471,0.32139125910033084,12.193814867872504,False,0.0,0.999991368218216,0.64225,True,True
24,0.3,1.3e-06,0.12178855064762262,2.7957944614838807e-07,0.13007533251836798,0.05953025457495395,0.026168566675876193,0.05154860240193147,0.2305640167284923,0.2828563106493718,0.2981124101214591,11.39200376596347,False,0.0,0.9999913889588959,0.6445,True,True
25,0.305,3e-07,0.23937267414094066,0.3098127660374734,9.351949972004288,61.2687196250191,0.03161086938714902,47.5275132240123,333.1172339560487,392.1731679948605,407.5280164484572,12892.021774450766,True,0.0,0.9765689820722002,0.6115,True,False
26,0.305,5e-07,0.23962901168244738,0.376392859572674,2.596302466407913,17.818742720012082,0.03138599941864856,13.75801080206623,97.7919316484825,115.36377591226544,119.93171475644569,3821.185145539201,True,0.0,0.9369226964610363,0.61275,True,False
27,0.305,7e-07,0.37111954409209186,0.2763577853272247,1.5260015790844448,8.826845381705663,0.031148643270130394,6.782617874067236,48.89932040875932,57.81529348582028,60.13282681592963,1930.5119100834588,True,0.0,0.9914084538074824,0.614,True,False
28,0.305,1e-06,0.5354714982716907,0.10422271751582443,0.8144519375087399,3.959590479561831,0.030768792581642612,3.0196479078250698,22.24779447364901,26.4087454379166,27.490380907093368,893.4501031897457,False,0.0,0.9585896359490378,0.61625,False,False
29,0.305,1.3e-06,0.5864095055101433,0.04295425352084634,0.7013280978648404,2.4861712741003203,0.030414304037421902,1.8810719564228595,14.170106223117216,16.891232614724153,17.59864692910566,578.6305978743299,False,0.0,0.9834055672577432,0.61825,False,False
30,0.31,3e-07,0.1878523123276792,0.3438755550668086,36.78496372926411,112.81012320613432,0.04237806026612445,96.37390548712787,480.1487435257934,546.6199386652501,564.061666133998,13310.228514278553,True,0.0,0.9707181892249546,0.58825,True,False
31,0.31,5e-07,0.6062169853957429,0.20694215363154328,0.7376319230851486,49.25833351194581,0.04179700645251769,42.02311100486751,210.54604783483964,239.8289725952351,247.5123148307409,5921.7713381439025,True,0.0,0.9991824017545832,0.5895,True,False
32,0.31,7e-07,0.37725186829069624,0.4105637333415113,0.490728277473854,20.32427433078839,0.041237811516158296,17.310146733568935,87.30259861692466,99.52796887029578,102.73600545096048,2491.305956202422,True,0.0,0.9380385625914965,0.5905,True,False
33,0.31,1e-06,0.59160025976071,0.29338667807110336,0.180770071714119,8.636195276219318,0.04034410378031961,7.334872007167392,37.39852566181487,42.703123542559794,44.09551412839258,1092.9853434965103,True,0.0,0.929631179885364,0.5925,True,False
34,0.31,1.3e-06,0.7220083790672596,0.16198254045546345,0.11627741979816038,5.777468306503509,0.03955919438049704,4.89360495509275,25.215272195069332,28.833334790042095,29.783201378610645,752.8768430454493,False,0.0,0.9874811655505155,0.5942500000000001,False,False
