case,ic_scale,dt_main,in_policy,pass_case,pass_effective,spearman_l2_vs_baseline,spearman_maxabs_vs_baseline,spearman_terminal_vs_baseline,max_rel_drift_primary_l2,template_ratio_cv
baseline,1.0,0.001,True,True,True,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0,5.7914920024002965e-15
nuisance_ic_minus_0p1pct,0.999,0.001,False,False,True,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.14830378674833755,4.9126584777598535e-15
nuisance_ic_plus_0p1pct,1.001,0.001,False,False,True,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.10929430057576929,6.576794774766856e-15
nuisance_dt_minus_10pct,1.0,0.0009,True,True,True,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0005301653474863295,5.784464394653638e-15
nuisance_dt_plus_10pct,1.0,0.0011,True,True,True,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0003792545525526476,5.784464394653638e-15
nuisance_ic_minus_0p07pct,0.9993,0.001,True,True,True,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.09818237346260698,5.20338210987651e-15
nuisance_ic_plus_0p09pct,1.0009,0.001,True,True,True,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.09959867397772769,6.490960476677505e-15
